response_id,Timestamp,Q1_AgeGroup_code,Q1_AgeGroup_label,Q2_Gender_code,Q2_Gender_label,Q3_Occupation_code,occupation_normalized,occupation_detail,Q4_Nationality_code,nationality_group,nationality_detail,Q4b_AfricanCountry_normalized,Q5_VisitReason_code,Q5_VisitReason_label,Q6_Familiarity_code,Q6_Familiarity_label,Q7_HeardFrom_code,Q7_HeardFrom_label,platform_use_facebook,platform_use_instagram,platform_use_tiktok,platform_use_youtube,platform_use_whatsapp,platform_use_telegram,Q9_VisitedWebsite_code,Q9_VisitedWebsite_label,Q10_WebsiteRating,Q11a_PersRec,Q11b_Chatbot,Q11c_TrustAI,Q11d_AutoNotif,Q11e_AIRecipes,q12_chatbot,q12_personalised_rec,q12_auto_notif,q12_ai_recipes,q12_smart_search,q12_ai_promotions,q12_none,Q13_SocialAdPurchase_code,Q13_SocialAdPurchase_label,Q14_OnlineGrocery_code,Q14_OnlineGrocery_label,q15_product_showcases,q15_recipes_tutorials,q15_cultural_stories,q15_promotions_sales,q15_customer_reviews,q15_behind_the_scenes,q15_educational,q16_social_media,q16_email,q16_whatsapp_telegram,q16_sms,q16_no_comms,q17_limited_range,q17_info_hard_to_find,q17_no_online_order,q17_poor_website,q17_poor_communication,q17_language_barriers,q17_none,q17_other,Q18_Improvement
148,2026-05-10T19:02:52,b,18–25,b,Female,c,Employed part-time,,b,African,,Cameroon,b,To buy cosmetics or personal care products,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,Daily,Daily,Daily,Several times/week,Daily,Once a week,a,"Yes, multiple times",3,5,5,4,3,2,1,0,0,0,0,1,0,c,Sometimes,d,Occasionally,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,How come the products in the store are barely displayed on the website? The manager should do better or hire a digital marketing expert
149,2026-05-10T19:03:51,d,36–45,d,Prefer not to say,d,Self-employed,,c,European (non-Lithuanian),,,c,Curiosity about African cuisine or culture,e,I have never heard of African Market,,,Once a week,Once a week,Once a week,Once a week,Daily,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2026-05-10T19:07:15,c,26–35,c,Other,b,Employed full-time,,a,Lithuanian,,,d,Recommendation from friends or family,d,I have heard of it but never visited,e,Walking past the store,Daily,Several times/week,Never,Once a week,Several times/week,Several times/week,c,No,,2,1,1,1,1,0,1,0,0,0,0,0,c,Sometimes,e,Never,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,I'm not a customer
151,2026-05-10T19:12:03,c,26–35,b,Female,,Student + Self-employed,Studying and Self employed,b,African,,Nigeria,b,To buy cosmetics or personal care products,b,I am an occasional customer (shop a few times a year),a,Facebook,Several times/week,Daily,Daily,A few times/month,Daily,Rarely,a,"Yes, multiple times",3,3,5,3,2,3,0,0,0,0,1,0,0,b,Often,c,About half the time,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,Advertisement
152,2026-05-10T19:55:05,b,18–25,a,Male,e,Unemployed,,,Asian,Pakistan,,h,To find ingredients for specific recipes,c,I have visited once or twice,e,Walking past the store,Daily,Rarely,Rarely,Daily,Daily,Daily,c,No,,1,3,4,4,2,1,0,0,1,0,0,0,c,Sometimes,d,Occasionally,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,
153,2026-05-10T20:44:18,b,18–25,b,Female,a,Student,,,Middle Eastern,Middle Eastern - Lebanese,,d,Recommendation from friends or family,d,I have heard of it but never visited,d,Friend or family recommendation,Several times/week,Daily,Daily,A few times/month,Several times/week,A few times/month,c,No,,3,4,3,2,2,0,0,0,0,0,0,1,d,Rarely,b,Most of the time,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,I don't know because I have never visited their wesbite and don't follow their social media
154,2026-05-10T20:49:13,b,18–25,a,Male,a,Student,,b,African,,Algeria,a,To buy specific food products unavailable elsewhere,c,I have visited once or twice,a,Facebook,Daily,Daily,Daily,Daily,Daily,Daily,b,"Yes, once",4,4,3,1,5,5,1,0,1,0,1,0,0,b,Often,c,About half the time,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Easier online shopping experience
155,2026-05-10T20:49:55,c,26–35,b,Female,b,Employed full-time,,a,Lithuanian,,,d,Recommendation from friends or family,e,I have never heard of African Market,,,Daily,Several times/week,Several times/week,Daily,Daily,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2026-05-10T20:54:49,d,36–45,b,Female,b,Employed full-time,,c,European (non-Lithuanian),,,d,Recommendation from friends or family,b,I am an occasional customer (shop a few times a year),e,Walking past the store,Once a week,Once a week,Several times/week,Daily,Daily,Never,b,"Yes, once",1,2,3,3,3,3,1,1,0,0,0,0,0,d,Rarely,c,About half the time,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"I don't know if the store opens on Sundays now but it would be nice if there is opportunity to shop on Sunday because for a food store, the weekends should be fully functional"
157,2026-05-10T20:58:47,b,18–25,c,Other,d,Self-employed,,a,Lithuanian,,,d,Recommendation from friends or family,d,I have heard of it but never visited,e,Walking past the store,Daily,Once a week,Daily,Several times/week,Rarely,Several times/week,d,I was not aware they had a website,,2,2,1,3,3,0,0,0,0,0,0,1,a,Very often,c,About half the time,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Online Advertisement. If I did not walk past this store, I would not know it exists."
158,2026-05-10T21:02:58,c,26–35,a,Male,b,Employed full-time,,b,African,,Nigeria,d,Recommendation from friends or family,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,Daily,Daily,Once a week,Daily,Daily,Several times/week,a,"Yes, multiple times",4,4,5,5,5,5,0,0,0,0,1,0,0,b,Often,d,Occasionally,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Add more information and products on the website. Create a bigger catalogue for more products.
159,2026-05-10T21:03:49,c,26–35,d,Prefer not to say,e,Unemployed,,c,European (non-Lithuanian),,,f,Affordable prices compared to alternatives,e,I have never heard of African Market,,,Daily,Daily,Daily,Daily,Rarely,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2026-05-10T21:52:34,c,26–35,b,Female,a,Student,,,Other,Australian,,c,Curiosity about African cuisine or culture,d,I have heard of it but never visited,d,Friend or family recommendation,Several times/week,Several times/week,Daily,Daily,Once a week,Once a week,c,No,,1,4,1,2,1,0,1,0,0,0,0,0,c,Sometimes,d,Occasionally,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
161,2026-05-10T21:56:27,c,26–35,a,Male,b,Employed full-time,,,Other,Australian/Spanish,,d,Recommendation from friends or family,d,I have heard of it but never visited,d,Friend or family recommendation,Rarely,A few times/month,Rarely,Daily,Several times/week,Daily,d,I was not aware they had a website,,1,1,1,1,1,0,1,0,1,0,0,0,c,Sometimes,e,Never,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
162,2026-05-10T21:58:35,b,18–25,d,Prefer not to say,a,Student,,c,European (non-Lithuanian),,,f,Affordable prices compared to alternatives,e,I have never heard of African Market,,,Daily,Daily,Daily,Once a week,Several times/week,A few times/month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2026-05-10T22:21:09,b,18–25,b,Female,a,Student,,b,African,,Morocco,h,To find ingredients for specific recipes,d,I have heard of it but never visited,e,Walking past the store,Several times/week,Daily,Daily,A few times/month,Once a week,Once a week,d,I was not aware they had a website,,3,4,3,3,3,1,0,0,0,0,0,0,a,Very often,c,About half the time,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,Prices are too expensive 😅
164,2026-05-10T22:57:57,b,18–25,b,Female,c,Employed part-time,,b,African,,Cameroon,b,To buy cosmetics or personal care products,a,I am a regular customer (shop at least once a month),a,Facebook,Daily,Daily,Daily,Once a week,Daily,A few times/month,b,"Yes, once",1,3,3,4,4,5,1,1,1,1,1,1,0,b,Often,c,About half the time,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,
165,2026-05-10T22:59:26,b,18–25,b,Female,a,Student,,,Asian,Kazakhstan,,h,To find ingredients for specific recipes,e,I have never heard of African Market,,,Daily,Daily,Daily,Daily,Daily,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2026-05-10T23:03:57,b,18–25,a,Male,a,Student,,b,African,,Ghana,g,Cultural connection or nostalgia,b,I am an occasional customer (shop a few times a year),d,Friend or family recommendation,Several times/week,Several times/week,A few times/month,Daily,Daily,Rarely,c,No,,5,5,3,4,3,1,1,0,0,0,0,0,c,Sometimes,e,Never,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,Swift response and delivery
167,2026-05-10T23:08:36,d,36–45,b,Female,,Employed + Self-employed,Employed and Self Employed,b,African,,Nigeria,h,To find ingredients for specific recipes,a,I am a regular customer (shop at least once a month),b,Instagram,Daily,Daily,Daily,Rarely,Daily,Rarely,b,"Yes, once",4,5,2,5,5,5,0,1,0,0,1,0,0,d,Rarely,d,Occasionally,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,"I will advise to get in partnership with reputable digital delivery companies instead of using people to deliver in an analog manner, this will make delivery more organized and trackable"
168,2026-05-10T23:15:02,e,46–55,b,Female,d,Self-employed,,a,Lithuanian,,,h,To find ingredients for specific recipes,b,I am an occasional customer (shop a few times a year),e,Walking past the store,Several times/week,A few times/month,Several times/week,Rarely,Rarely,Never,b,"Yes, once",2,4,1,1,5,4,0,1,0,0,1,0,0,c,Sometimes,d,Occasionally,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,"No spice or groceries displayed on the website, only a few food items and that's it."
169,2026-05-10T23:27:40,c,26–35,b,Female,c,Employed part-time,,,American,Nigerian American,,g,Cultural connection or nostalgia,b,I am an occasional customer (shop a few times a year),f,Google search,Daily,Daily,Several times/week,Several times/week,Several times/week,Never,c,No,,2,2,3,3,2,0,1,1,0,1,0,0,a,Very often,b,Most of the time,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,
170,2026-05-11T00:29:56,d,36–45,a,Male,b,Employed full-time,,b,African,,Guinea,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,Several times/week,Several times/week,A few times/month,Several times/week,Daily,Rarely,a,"Yes, multiple times",4,5,5,5,4,4,1,1,1,0,0,1,0,b,Often,c,About half the time,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,It would be nice if there is more promotion of the African culture across the platforms
171,2026-05-11T00:34:48,b,18–25,b,Female,e,Unemployed,,,European (non-Lithuanian),Ukraine,,c,Curiosity about African cuisine or culture,c,I have visited once or twice,d,Friend or family recommendation,Daily,Daily,Daily,Daily,Daily,Several times/week,d,I was not aware they had a website,,3,3,4,4,2,1,1,1,1,0,1,0,a,Very often,b,Most of the time,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Can't say, they should figure that out"
172,2026-05-11T04:36:57,c,26–35,b,Female,e,Unemployed,,c,European (non-Lithuanian),,,c,Curiosity about African cuisine or culture,e,I have never heard of African Market,,,Daily,Daily,Daily,A few times/month,Once a week,Several times/week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2026-05-11T04:48:27,b,18–25,a,Male,a,Student,,b,African,,Egypt,h,To find ingredients for specific recipes,d,I have heard of it but never visited,d,Friend or family recommendation,Daily,Daily,Daily,Daily,Daily,Daily,b,"Yes, once",3,4,4,3,3,3,0,0,0,0,1,1,0,c,Sometimes,d,Occasionally,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,
174,2026-05-11T04:51:00,b,18–25,c,Other,c,Employed part-time,,a,Lithuanian,,,c,Curiosity about African cuisine or culture,d,I have heard of it but never visited,e,Walking past the store,Daily,Daily,Daily,Daily,Daily,Daily,d,I was not aware they had a website,,4,4,3,3,4,0,0,0,0,0,0,1,b,Often,b,Most of the time,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1,0,
