response_id,Timestamp,Q1_AgeGroup_code,Q1_AgeGroup_label,Q2_Gender_code,Q2_Gender_label,Q3_Occupation_code,occupation_normalized,occupation_detail,Q4_Nationality_code,nationality_group,nationality_detail,Q4b_AfricanCountry_normalized,Q5_VisitReason_code,Q5_VisitReason_label,Q6_Familiarity_code,Q6_Familiarity_label,Q7_HeardFrom_code,Q7_HeardFrom_label,platform_use_facebook,platform_use_instagram,platform_use_tiktok,platform_use_youtube,platform_use_whatsapp,platform_use_telegram,Q9_VisitedWebsite_code,Q9_VisitedWebsite_label,Q10_WebsiteRating,Q11a_PersRec,Q11b_Chatbot,Q11c_TrustAI,Q11d_AutoNotif,Q11e_AIRecipes,q12_chatbot,q12_personalised_rec,q12_auto_notif,q12_ai_recipes,q12_smart_search,q12_ai_promotions,q12_none,Q13_SocialAdPurchase_code,Q13_SocialAdPurchase_label,Q14_OnlineGrocery_code,Q14_OnlineGrocery_label,q15_product_showcases,q15_recipes_tutorials,q15_cultural_stories,q15_promotions_sales,q15_customer_reviews,q15_behind_the_scenes,q15_educational,q16_social_media,q16_email,q16_whatsapp_telegram,q16_sms,q16_no_comms,q17_limited_range,q17_info_hard_to_find,q17_no_online_order,q17_poor_website,q17_poor_communication,q17_language_barriers,q17_none,q17_other,Q18_Improvement
185,2026-05-11T06:05:37,c,26–35,d,Prefer not to say,d,Self-employed,,b,African,,Zimbabwe,d,Recommendation from friends or family,b,I am an occasional customer (shop a few times a year),d,Friend or family recommendation,Several times/week,Daily,Daily,Daily,Never,Daily,a,"Yes, multiple times",3,4,5,5,1,1,1,0,1,1,1,0,0,c,Sometimes,b,Most of the time,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,
186,2026-05-11T06:08:22,c,26–35,a,Male,a,Student,,b,African,,Nigeria,d,Recommendation from friends or family,a,I am a regular customer (shop at least once a month),f,Google search,Daily,Daily,A few times/month,Daily,Daily,Daily,b,"Yes, once",4,1,4,3,3,3,1,1,1,1,1,1,0,c,Sometimes,c,About half the time,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,
187,2026-05-11T06:13:40,b,18–25,b,Female,a,Student,,b,African,,Zambia,h,To find ingredients for specific recipes,c,I have visited once or twice,d,Friend or family recommendation,Daily,Daily,Never,Several times/week,Daily,A few times/month,b,"Yes, once",3,2,2,2,4,4,0,0,0,0,0,0,1,d,Rarely,b,Most of the time,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
188,2026-05-11T06:17:22,b,18–25,a,Male,,Employed + Self-employed,Working and running a business too,,American,American,,h,To find ingredients for specific recipes,c,I have visited once or twice,f,Google search,Daily,Several times/week,Rarely,Daily,Rarely,A few times/month,b,"Yes, once",,3,3,4,5,1,1,1,1,1,1,1,0,c,Sometimes,d,Occasionally,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,Just do what is right for the customers
189,2026-05-11T06:33:22,b,18–25,b,Female,b,Employed full-time,,a,Lithuanian,,,a,To buy specific food products unavailable elsewhere,d,I have heard of it but never visited,e,Walking past the store,Daily,Daily,Daily,Daily,Daily,Never,d,I was not aware they had a website,,5,5,5,4,4,1,0,1,0,0,0,0,d,Rarely,e,Never,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,
190,2026-05-11T06:36:44,d,36–45,a,Male,b,Employed full-time,,,American,American,,d,Recommendation from friends or family,a,I am a regular customer (shop at least once a month),e,Walking past the store,Daily,Several times/week,Several times/week,Several times/week,Several times/week,Several times/week,c,No,,4,3,2,4,4,0,1,0,0,0,1,0,d,Rarely,c,About half the time,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,
191,2026-05-11T06:43:06,b,18–25,b,Female,a,Student,,b,African,,Cameroon,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),a,Facebook,Daily,Daily,Daily,Daily,Daily,Once a week,a,"Yes, multiple times",1,4,4,5,4,3,1,1,1,1,1,1,0,b,Often,b,Most of the time,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,"Reduce price, I pick a few things and it's already 30 euros minimum"
192,2026-05-11T06:47:49,c,26–35,a,Male,c,Employed part-time,,b,African,,Nigeria,d,Recommendation from friends or family,a,I am a regular customer (shop at least once a month),c,TikTok,Several times/week,Several times/week,Several times/week,Several times/week,Several times/week,Several times/week,a,"Yes, multiple times",4,3,3,4,3,3,1,1,0,0,1,1,0,d,Rarely,c,About half the time,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Apart from the WhatsApp group, create a community on other social media platforms"
193,2026-05-11T06:51:25,c,26–35,b,Female,b,Employed full-time,,b,African,,Kenya,b,To buy cosmetics or personal care products,d,I have heard of it but never visited,e,Walking past the store,Several times/week,Daily,Several times/week,Several times/week,Several times/week,Daily,c,No,,2,1,2,4,4,0,0,0,0,0,0,1,d,Rarely,c,About half the time,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,website should be updated frequently
194,2026-05-11T13:41:59,c,26–35,a,Male,d,Self-employed,,c,European (non-Lithuanian),,,d,Recommendation from friends or family,c,I have visited once or twice,d,Friend or family recommendation,Daily,Daily,Rarely,Daily,Daily,Daily,c,No,,4,3,5,5,2,1,1,1,0,0,1,0,c,Sometimes,d,Occasionally,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,"I could not find any spice or livestock on the website, these should be included on the website product catalogue as well."
